person_id,transcript
454286,â€˜I deny it!â€™ Are you mad?
490737,I don't know anything about it.
209590,"way, and the whole party swam to the shore."
196538,"lessons in here? Why, thereâ€™s hardly room for YOU, and no room at all"
541190,I don't recall being there.
751137,I don't recall being there.
657875,would be offended again.
990463,"â€˜So he did, so he did,â€™ said the Gryphon, sighing in his turn; and both"
205019,"I saw the murder happen, i recognize the killer from the gym when i was working out last week on ""3/9/2023""."
272601,come to the end: then stop.â€™
184448,I was hired by a woman and she is a millionaire. I don't have much information about her but she has blue eyes and her age is 60 and she drives a mercedes benz. She also told me that she will attend a dinner of a data company on 3/9/2023.
814542,"down on one knee. â€˜Iâ€™m a poor man, your Majesty,â€™ he began."
440100,I deny it
958559,Why am I here? I have nothing to do with this.
137236,I refuse to answer without legal representation.
757572,"were nowhere to be found: all she could see, when she looked down, was"
149351,"â€˜Anything you like,â€™ said the Footman, and began whistling."
257998,"heard a gunshot and saw a woman run out. She had a "" atom fit"" gym bag. The membership number on the bag was ""AT3326"". She got into a car with plate number ""LHR7303"" and car_make ""Audi"""
186244,"Who are you? To ask me this, I need to talk to my lawyer."
904470,I don't recall being there.
804873,"â€˜You couldnâ€™t have wanted it much,â€™ said Alice; â€˜living at the bottom of"
118971,"â€˜I speak severely to my boy,"
367866,"picking the daisies, when suddenly a White Rabbit with pink eyes ran"
225614,"â€˜Cheshire Puss,â€™ she began, rather timidly, as she did not at all know"
374561,snappishly. â€˜Youâ€™re enough to try the patience of an oyster!â€™
217718,I demand to know the charges against me.
727989,I'm innocent.
744770,I want my lawyer present before answering any questions.
205595,"Who are you? To ask me this, I need to talk to my lawyer."
840188,I'm innocent.
829190,This is a setup.
506023,I want my lawyer present before answering any questions.
733453,"Who are you? To ask me this, I need to talk to my lawyer."
515132,Why am I here? I have nothing to do with this.
885461,I demand to know the charges against me.
315283,I'm not involved in any criminal activity.
828601,Why am I here? I have nothing to do with this.
410910,This is a misunderstanding.
301682,I'm not involved in any criminal activity.
727729,I deny it
902030,I deny it
111783,"He did it! , no you said me to do it?"
424446,Why am I here? I have nothing to do with this.
189027,This is a setup.
965591,I'm not involved in any criminal activity.
183678,I don't know anything about it.
455863,I'm innocent.
215133,This is a setup.
583343,I'm innocent.
724297,I demand to know the charges against me.
742610,Why am I here? I have nothing to do with this.
613259,You've got the wrong person.
356138,I have an alibi for that time.
867928,This is a misunderstanding.
628780,I deny it
804784,Iam not obliged to answer this nonsense
353215,You've got the wrong person.
781407,You've got the wrong person.
452946,This is a setup.
709910,I demand to know the charges against me.
541803,I want my lawyer present before answering any questions.
344455,I don't know anything about it.
877417,This is a misunderstanding.
993337,I refuse to answer without legal representation.
268548,Why am I here? I have nothing to do with this.
854939,I'm innocent.
560764,I don't know anything about it.
850462,"Who are you? To ask me this, I need to talk to my lawyer."
615057,Why am I here? I have nothing to do with this.
937625,This is a setup.
923501,I refuse to answer without legal representation.
834372,"Who are you? To ask me this, I need to talk to my lawyer."
783908,"Who are you? To ask me this, I need to talk to my lawyer."
163584,This is a setup.
211174,I don't know anything about it.
685349,I demand to know the charges against me.
671209,"Who are you? To ask me this, I need to talk to my lawyer."
906662,"Who are you? To ask me this, I need to talk to my lawyer."
829144,I refuse to answer without legal representation.
726645,I'm innocent.
847097,This is a setup.
873280,This is a setup.
208998,I demand to know the charges against me.
832958,I'm innocent.
296546,I was at home the entire time.
942332,I'm innocent.
467775,I was at home the entire time.
861357,This is a setup.
869414,I refuse to answer without legal representation.
243035,You've got the wrong person.
238098,I have an alibi for that time.
258307,Yes i did it! if gotten a chance would repeat it 100 more times!
350891,I refuse to answer without legal representation.
880363,I'm not involved in any criminal activity.
479833,I demand to know the charges against me.
221016,This is a setup.
491310,I have an alibi for that time.
390019,You've got the wrong person.
232029,I demand to know the charges against me.
496487,I refuse to answer without legal representation.
