person_id,event_id,event_name,date
454286,4889,AtomCamp-Annual Dinner,11252023
490737,3879,AtomCamp-Annual Dinner,1022023
209590,4445,AtomCity- Concert,7162023
196538,3958,AtomCamp-Annual Dinner,8012023
541190,3326,AtomCamp-Annual Dinner,3092023
751137,4305,AtomCamp-Annual Dinner,4062023
657875,3784,AtomCamp-Annual Dinner,5062023
990463,4104,AI-Summit Polix_Analytics,5262023
205019,4817,"The Pig, if I am not mistaken,",4102023
272601,4447,responsibility at the other.,3202023
184448,4675,A: Three.  One to screw in the lightbulb and two to fend off all those,11072023
814542,3479,SQL Symphony Concert,9212023
440100,4719,SQL Symphony Concert,2192023
958559,3722,Minnie Mouse is a slow maze learner.,10152023
137236,3322,You'll never be the man your mother was!,10282023
757572,4783,Lets Roll AI-Data Science,3262023
149351,3500,Lets Roll AI-Data Science,3112023
257998,4162,Lets Roll AI-Data Science,9162023
186244,4234,Lets Roll AI-Data Science,8092023
904470,4666,"And everywhere this language went,",10072023
804873,4809,-- Macy's,2122023
118971,3351,Screw up your courage!  You've screwed up everything else.,8222023
367866,4730,A professor is one who talks in someone else's sleep.,5132023
225614,4689,"Ingrate: A man who bites the hand that feeds him, and then complains of",4082023
374561,3801,Don't cook tonight -- starve a rat today!,11032023
217718,4895,meant to be discarded:  That the whole point is to always see it as a,5262023
727989,3808,Experience is that marvelous thing that enables you recognize a,9292023
744770,4481,Just because your doctor has a name for your condition doesn't mean he,4162023
205595,3681,"Diplomacy is the art of saying ""nice doggy"" until you can find a rock.",4242023
840188,4712,USER n.: A programmer who will believe anything you tell him.,9242023
829190,3756,#NAME?,5142023
506023,3423,asked the father of his little son.,1152023
733453,3774,"FLASH!  Intelligence of mankind decreasing.  Details at ... uh, when",11192023
515132,3646,Dealing with failure is easy:  Work hard to improve.  Success is also,11152023
885461,4073,Real Programmers don't document.  Documentation is for simps who can't read the,1212023
315283,3639,Gives us ham and pork and Bacon.,3032023
828601,3746,other.,1022023
410910,4398,"if it were so, it would be; but as it isn't, it ain't.  That's logic!""",2212023
301682,4287,out of a divorce.,6012023
727729,4000,Avoid reality at all costs.,11022023
902030,3446,Only adults have difficulty with childproof caps.,4172023
111783,3542,"If you think last Tuesday was a drag, wait till you see what happens",1152023
424446,4458,Garbage Data Garbage Model,5142023
189027,3949,Now Lets go to Data Governance ,4042023
965591,4822,Now Lets go to Data Governance ,10162023
183678,3699,Now Lets go to Data Governance ,6192023
455863,4546,Now Lets go to Data Governance ,11112023
215133,3628,Modern man is the missing link between apes and human beings.,4222023
583343,3632,Your analyst has you mixed up with another patient.  Don't believe a,1012023
724297,4366,bread.,3022023
742610,3827,"analyzed, and replaced with new weaknesses.",3102023
613259,3647,#NAME?,7172023
356138,3257,Good advice is something a man gives when he is too old to set a bad,1122023
867928,3391,In a five year period we can get one superb programming language.  Only,4142023
628780,4248,"As far as the laws of mathematics refer to reality, they are not",10042023
804784,4132,Vital papers will demonstrate their vitality by spontaneously moving,1082023
353215,3443,Q: How many heterosexual males does it take to screw in a light bulb in,11162023
781407,4811,All Data is Us,7042023
452946,3402,He sure is a fun god,10262023
709910,3915,He sure is a fun god,3132023
541803,4458,Polix- Analytics The way of Data,2212023
344455,3316,Polix- Analytics The way of Data,3022023
877417,3507,Real Programmers don't write in FORTRAN.  FORTRAN is for pipe stress freaks and,3202023
993337,3496,The one who has the gold makes the rules.,9302023
268548,3512,What use is magic if it can't save a unicorn?,10012023
854939,4834,Earn cash in your spare time -- blackmail your friends,5212023
560764,4240,"Christ: A man who was born at least 5,000 years ahead of his time.",5132023
850462,4427,Tomorrow will be canceled due to lack of interest.,5292023
615057,4230,"I can't complain, but sometimes I still do.",3162023
937625,4732,There was a young lady from Hyde,9062023
923501,3844,"price went up.  The label ""ALL NEW"", ""COMPLETELY NEW"", or ""GREAT NEW""",6102023
834372,3600,thing he tells you.,10292023
783908,3716,There is no time like the present for postponing what you ought to be,7062023
163584,3765,America may be unique in being a country which has leapt from barbarism,9162023
211174,3830,The past always looks better than it was.  It's only pleasant because,11232023
685349,3655,Q: How many IBM cpu's does it take to do a logical right shift?,7102023
671209,3578,to decadence without touching civilization.,2172023
906662,3597,"Let Einstein be!"" restored the status quo.",10022023
829144,3345,How many hardware engineers does it take to change a lightbulb?,7112023
726645,3300,Data nails Everytime,4112023
847097,3290,Data nails Everytime,4042023
873280,3783,Data nails Everytime,3102023
208998,3673,Data nails Everytime,11072023
832958,4760,Data nails Everytime,4122023
296546,4714,"When told this was so,",6072023
942332,4228,"Nature and nature's laws lay hid in night,",4072023
467775,3983,once.,9082023
861357,4258,Democracy is a form of government in which it is permitted to wonder,11072023
869414,4849,Old soldiers never die.  Young ones do.,8052023
243035,3368,climbing boots to work in case a  mountain should suddenly spring up in the,2272023
238098,4367,it wasn't worth doing.,8252023
258307,4501,"hour!""",9102023
350891,4453,"If you are given a take-home exam, you will forget where you",8112023
880363,3229,Man is the only animal that blushes -- or needs to.,10282023
479833,3596,You might as well live.,5212023
221016,4621,And drugs cause cramp.,9012023
491310,3864,A language that doesn't affect the way you think about programming is,3082023
390019,4801,Don't worry over what other people are thinking about you.  They're too,5022023
232029,4287,described with pictures.,2072023
496487,4278,There once was a girl named Irene,8152023
